Year;State;State ISO;Varroa mites;Other pests and parasites;Diseases ;Pesticides;Other* ;Unknown
2015;Pennsylvania;PA;56.87573042;13.49824698;4.47993767;4.343591741;15.83560577;4.966887417
2016;Pennsylvania;PA;62.41167085;10.55390928;3.031684522;8.27444723;10.14360611;5.584682015
2017;Pennsylvania;PA;67.60152569;8.144491811;2.916760153;8.413731209;6.237379403;6.686111734
2018;Pennsylvania;PA;53.11236863;17.62328213;4.446240905;9.215844786;6.06305578;9.539207761
2015;South Carolina;SC;51.85389134;19.08957416;8.902349486;8.314977974;7.8010279;4.038179148
2016;South Carolina;SC;32.37995582;24.64829671;7.266596907;18.89315196;13.92861295;2.883385653
2017;South Carolina;SC;42.17167229;25.8574729;13.47076595;10.12973165;6.184467745;2.185889462
2018;South Carolina;SC;44.80986639;19.42446043;1.438848921;4.316546763;23.94655704;6.063720452
2015;South Dakota;SD;43.34958217;19.42896936;5.222841226;14.55431755;6.02367688;11.42061281
2016;South Dakota;SD;49.37859958;15.86844498;8.184298272;17.08093362;8.153986056;1.333737496
2017;South Dakota;SD;40.94420601;10.66523605;7.231759657;14.95708155;21.30901288;4.892703863
2018;South Dakota;SD;35.29051988;25.87155963;9.418960245;4.892966361;24.40366972;0.122324159
2015;Tennessee;TN;48.12082894;32.23275963;1.346446552;7.493267767;7.294227842;3.512469266
2016;Tennessee;TN;44.12268677;31.92254969;0.908156271;3.255654558;11.82316655;7.967786155
2017;Tennessee;TN;47.75462663;25.59855054;1.35887149;4.374272033;10.19800699;10.71567232
2018;Tennessee;TN;37.99743261;27.79204108;3.401797176;4.107830552;12.45186136;14.24903723
2015;Texas;TX;36.20122238;27.34681084;4.513399154;16.6588309;6.503682808;8.77605391
2016;Texas;TX;47.5866243;18.05114238;5.568164624;17.70313209;6.657588137;4.433348464
2017;Texas;TX;42.54526775;26.87813022;3.441633492;14.25452678;9.11776037;3.762681392
2018;Texas;TX;37.43104807;21.67060678;10.00788022;3.624901497;7.880220646;19.38534279
2015;United States;TO;44.76155629;17.41675814;6.464202952;14.85547018;10.55006708;5.951945359
2016;United States;TO;47.60299231;16.17321673;8.091876515;12.59087557;10.16752713;5.373511748
2017;United States;TO;48.54307432;15.92060811;6.809543919;12.43665541;9.744510135;6.545608108
2018;United States;TO;46.10866373;15.51639745;7.684777288;11.40479687;11.30690162;7.978463045
2015;Utah;UT;48.7555998;14.24838228;15.43056247;15.71677451;5.164260826;0.68442011
2016;Utah;UT;59.92434357;15.24254562;1.513128616;16.91143747;4.561637739;1.846906987
2017;Utah;UT;50.18613975;4.911225659;4.266895762;12.41408935;14.28980527;13.93184422
2018;Utah;UT;78.73417722;9.367088608;2.658227848;4.303797468;1.898734177;3.037974684
2015;Virginia;VA;44.52515946;23.83061658;2.569099929;3.454996456;9.798015592;15.82211198
2016;Virginia;VA;52.31941683;22.99536117;5.467196819;4.804506296;8.035122598;6.378396289
2017;Virginia;VA;44.31528662;31.01910828;2.595541401;6.449044586;8.168789809;7.452229299
2018;Virginia;VA;35.84491587;22.16532553;2.560351134;3.730797366;22.67739576;13.02121434
2015;Vermont;VT;57.04787234;16.4893617;1.329787234;1.595744681;5.265957447;18.2712766
2016;Vermont;VT;16.15412229;19.7080292;12.95919588;49.0606677;1.076941486;1.041043437
2017;Vermont;VT;36.49773971;16.21460861;8.684273138;32.95265287;4.104211278;1.546514394
2018;Vermont;VT;60.15503876;4.186046512;1.550387597;26.82170543;5.891472868;1.395348837
2015;Washington;WA;77.24068479;2.844914401;3.096676737;4.607250755;10.07049345;2.139979859
2016;Washington;WA;60.60118952;11.22006108;3.697154798;13.26153352;8.760649413;2.45941167
2017;Washington;WA;55.76456311;10.46723301;9.405339806;9.101941748;9.648058252;5.612864078
2018;Washington;WA;63.57354393;10.16781836;8.489634748;9.378084896;7.403751234;0.987166831
2015;Wisconsin;WI;42.66153672;12.14212968;4.107728867;16.83829354;12.08554939;12.1647618
2016;Wisconsin;WI;38.42170671;8.057166529;8.989229495;13.56669428;10.71872411;20.24647887
2017;Wisconsin;WI;38.2295014;15.94278014;14.09764694;12.64641858;9.204934176;9.878718773
2018;Wisconsin;WI;31.01851852;13.16137566;12.56613757;18.58465608;21.62698413;3.042328042
2015;West Virginia;WV;47.34287174;16.22381196;3.270311702;5.952989269;19.41747573;7.792539601
2016;West Virginia;WV;60.55066576;7.402392237;5.642067253;1.354096141;19.18302866;5.867749944
2017;West Virginia;WV;63.13868613;8.052007299;3.307481752;0.843978102;18.77281022;5.885036496
2018;West Virginia;WV;28.59980139;15.39225422;2.879841112;6.256206554;34.16087388;12.71102284
2015;Wyoming;WY;44.66093601;20.49665712;8.787010506;11.13658071;10.65902579;4.259789876
2016;Wyoming;WY;74.99278083;5.573202426;3.609587063;7.883338146;5.630955819;2.31013572
2017;Wyoming;WY;51.60087719;5.48245614;16.73245614;9.583333333;10.96491228;5.635964912
2018;Wyoming;WY;40.06734007;1.683501684;8.417508418;15.48821549;16.83501684;17.50841751
