Year;Period;State;State ISO;Varroa mites;Other pests and parasites;Diseases ;Pesticides;Other*;Unknown
2017;july-sept;Massachusetts;MA;94.5;1;0.8;2.6;0.9;0.1
2017;july-sept;Maryland;MD;24.9;28.5;2;4.5;14.4;25.7
2017;july-sept;Maine;ME;32.7;8.7;8.7;37.5;11.5;1
2017;july-sept;Michigan;MI;52.2;10.9;7.9;12.6;13.8;2.7
2017;july-sept;Minnesota;MN;57.2;6.8;2.6;13.5;16.7;3.3
2017;july-sept;Missouri;MO;41.5;19.2;1.5;18.2;0.9;18.7
2017;july-sept;Mississippi;MS;74.4;5;0.7;0.2;18.9;0.7
2017;july-sept;Montana;MT;53.4;8.5;8.7;2.8;24.1;2.5
2017;july-sept;North Carolina;NC;51.9;25.1;2.3;14.1;5.3;1.3
2017;july-sept;North Dakota;ND;55.7;15.8;4.5;10.7;10.7;2.5
2017;july-sept;Nebraska;NE;39.1;17.1;1;18.4;23.8;0.5
2017;july-sept;New Mexico;NM;66.1;2.9;15.8;12.1;2.8;0.3
2017;july-sept;New Jersey;NY;64.1;17.4;0;4.8;2.4;11.4
2017;july-sept;New York;NY;47;20.6;6.5;9.8;14.2;1.9
2017;july-sept;Ohio;OH;51.1;19;4.7;6.7;11.6;7
2017;july-sept;Oklahoma;OK;33.6;35.1;15.3;5.8;7.2;3.1
2017;july-sept;Oregon;OR;55.7;10.8;11.6;13.5;6.6;1.8
2017;july-sept;Pennsylvania;PA;73.1;10.1;4.8;6.5;3.9;1.6
2017;july-sept;South Carolina;SC;55.7;24.9;0.4;6.3;11;1.7
2017;july-sept;South Dakota;SD;45;12.7;4.7;9.6;25.6;2.4
2017;july-sept;Tennessee;TN;50.2;25.9;2.5;7;6.2;8.1
2017;july-sept;United States;TO;49.1;16.2;5.2;11.8;12.5;5.3
2017;july-sept;Texas;TX;33.5;22.9;0.1;23.9;18.2;1.5
2017;july-sept;Utah;UT;48.9;0.1;0.6;20.2;19.2;11
2017;july-sept;Virginia;VA;59.3;31.3;1.8;0.6;5.2;1.9
2017;july-sept;Vermont;VT;44;23.6;12.3;0;18.3;1.8
2017;july-sept;Washington;WA;72.5;8.3;6.1;3.7;2.1;7.3
2017;july-sept;Wisconsin;WI;41.6;14.2;12.5;14.7;8.8;8.2
2017;july-sept;West Virginia;WV;51.9;13.9;3.1;1.3;21.3;8.5
2017;july-sept;Wyoming;WY;45.5;3.3;19.4;9.2;11.7;10.9
